monitoring_location_id,organization_id,organization_name,provider,monitoring_location_name,monitoring_location_type,huc8,latitude,longitude,horizontal_datum,country_code,state_code,county_code,drainage_area_value,drainage_area_unit,source_file
21NMEX_WQX-29RTierr000.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,RITO TIERRA AMARILLA AT THE HWY 112 BRIDGE ABOVE - 29RTierr000.7,River/Stream,13020102,36.6683370000,-106.6197270000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29RTierr026.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito Tierra Amarilla at  Hwy 64 - 29RTierr026.1,River/Stream,13020102,36.6475000000,-106.4225000000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29RTusas001.9,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Tusas at forest service boundary - 29RTusas001.9,River/Stream,13020102,36.3926000000,-106.0221900000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29RValle000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Vallecitos abv Rio Ojo Caliente - 29RValle000.1,River/Stream,13020102,36.3840000000,-106.0380000000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29RValle030.5,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Vallecitos 8.4 miles above Vallecitos at river crossing - 29RValle030.5,River/Stream,13020102,36.5922220000,-106.1836110000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29RioOso004.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio del Oso above Rio Chama - 29RioOso004.7,River/Stream,13020102,36.0919444400,-106.1861111000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29RioOso010.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio del Oso immed u/s of CR 456 crossing - 29RioOso010.7,River/Stream Perennial,13020102,36.0685400000,-106.2362200000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29SixtoC000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Sixto Creek above Rio Chamita - 29SixtoC000.1,River/Stream,13020102,36.9804700000,-106.6598900000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-29Willow000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Willow Creek abv Heron Lake - 29Willow000.1,River/Stream,13020102,36.7320000000,-106.6300000000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Americ001.5,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,American Creek at FR 69C - 31Americ001.5,River/Stream Intermittent,13020202,35.9997280000,-106.7802670000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Americ003.4,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,American Creek at southern end of American Park - 31Americ003.4,River/Stream Perennial,13020202,36.0225400000,-106.7691300000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Calave001.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,CALAVERAS CREEK ABOVE RIO CEBOLLA ON NM 126 - 31Calave001.1,River/Stream,13020202,35.9319300000,-106.7090800000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31ClearC002.3,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,CLEAR CREEK AT NM 126 - 31ClearC002.3,River/Stream,13020202,35.9959000000,-106.8255100000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31EFkJem000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,East Fork Jemez above confluence with San Antonio Creek - 31EFkJem000.1,River/Stream,13020202,35.8276390000,-106.6435830000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31EFkJem020.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,East Fork Jemez below La Jara Creek - 31EFkJem020.7,River/Stream,13020202,35.8486040000,-106.4897790000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
